customer_id,last_order_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment
100042,2025-12-07,25,10,4898.3,5,5,5,Champions
100044,2023-12-29,734,2,141.18,1,2,1,Lost
100045,2025-10-11,82,1,1011.9300000000001,4,1,3,Potential Loyalists
100046,2025-11-29,33,3,303.1,5,3,2,Potential Loyalists
100047,2025-12-18,14,3,1722.88,5,3,4,Potential Loyalists
100048,2025-12-28,4,13,2925.77,5,5,5,Champions
100049,2024-01-08,724,1,70.09,1,1,1,Lost
100052,2023-02-13,1053,1,394.2,1,1,2,Lost
100053,2023-07-27,889,1,89.68,1,1,1,Lost
100054,2025-09-21,102,1,238.03,4,1,1,Potential Loyalists
100055,2025-04-29,247,3,3093.8999999999996,3,3,5,Others
100056,2025-11-26,36,7,2462.53,5,5,4,Champions
100057,2025-10-02,91,3,993.69,4,3,3,Potential Loyalists
100058,2024-08-29,490,1,224.7,2,1,1,Lost
100059,2023-08-22,863,1,1038.34,1,1,3,Lost
100060,2023-06-18,928,2,1692.28,1,2,4,Lost
100061,2025-11-27,35,4,1226.5700000000002,5,4,3,Loyal
100062,2025-01-08,358,2,1795.26,2,2,4,Lost
100064,2025-12-15,17,3,777.73,5,3,3,Potential Loyalists
100065,2025-08-28,126,3,3517.61,4,3,5,Potential Loyalists
100066,2025-12-14,18,11,6796.429999999999,5,5,5,Champions
100067,2025-09-18,105,1,598.82,4,1,2,Potential Loyalists
100068,2025-10-23,70,6,3011.5099999999998,4,5,5,Champions
100069,2025-08-14,140,3,437.01,3,3,2,Others
100071,2025-09-18,105,2,3412.25,4,2,5,Potential Loyalists
100072,2024-05-12,599,2,1257.17,1,2,3,Lost
100075,2025-03-23,284,3,951.1,2,3,3,Others
100076,2025-07-31,154,1,422.47,3,1,2,Others
100077,2025-12-22,10,7,1473.49,5,5,4,Champions
100078,2025-06-09,206,1,85.54,3,1,1,Others
100080,2024-02-03,698,1,450.22,1,1,2,Lost
100081,2025-08-22,132,3,1026.91,3,3,3,Others
100082,2025-02-27,308,1,1279.23,2,1,3,Lost
100084,2025-01-19,347,5,3493.63,2,4,5,At Risk
100085,2024-12-28,369,2,1357.9099999999999,2,2,3,Lost
100087,2024-10-10,448,1,548.28,2,1,2,Lost
100088,2025-11-23,39,4,1419.26,5,4,4,Champions
100089,2023-09-11,843,2,346.67,1,2,2,Lost
100090,2025-12-07,25,2,145.0,5,2,1,Potential Loyalists
100091,2025-08-15,139,2,644.25,3,2,2,Others
100092,2025-07-27,158,6,3203.71,3,5,5,Loyal
100093,2025-11-26,36,2,780.42,5,2,3,Potential Loyalists
100094,2025-11-09,53,2,1018.38,4,2,3,Potential Loyalists
100096,2024-10-16,442,1,302.3,2,1,2,Lost
100098,2025-09-25,98,6,1411.6299999999999,4,5,4,Champions
100099,2024-09-13,475,1,51.95,2,1,1,Lost
100100,2025-02-12,323,9,4515.05,2,5,5,At Risk
100101,2024-06-02,578,1,1245.12,1,1,3,Lost
100102,2024-01-09,723,2,1076.92,1,2,3,Lost
100104,2025-06-07,208,3,2187.58,3,3,4,Others
100105,2025-05-22,224,4,1437.14,3,4,4,Loyal
100106,2025-06-16,199,1,344.01,3,1,2,Others
100107,2025-07-15,170,1,136.78,3,1,1,Others
100108,2025-09-22,101,12,4846.990000000001,4,5,5,Champions
100109,2025-12-25,7,9,2539.68,5,5,4,Champions
100110,2024-01-18,714,1,352.34,1,1,2,Lost
100111,2024-06-25,555,3,990.3700000000001,1,3,3,Others
100112,2023-09-30,824,1,210.21,1,1,1,Lost
100115,2024-11-14,413,1,199.14999999999998,2,1,1,Lost
100116,2025-12-10,22,5,1850.37,5,4,4,Champions
100117,2024-03-21,651,1,137.85,1,1,1,Lost
100118,2025-09-07,116,2,549.4200000000001,4,2,2,Potential Loyalists
100119,2025-05-05,241,5,2714.36,3,4,5,Loyal
100120,2025-08-12,142,2,286.3,3,2,1,Others
100121,2025-12-25,7,12,4485.7,5,5,5,Champions
100122,2025-10-04,89,5,762.45,4,4,3,Loyal
100123,2024-04-24,617,1,106.30000000000001,1,1,1,Lost
100124,2025-11-19,43,2,1238.27,4,2,3,Potential Loyalists
100125,2025-09-26,97,6,2385.22,4,5,4,Champions
100126,2024-04-05,636,1,192.66,1,1,1,Lost
100127,2024-05-31,580,6,2666.07,1,5,5,At Risk
100128,2025-10-27,66,1,65.03999999999999,4,1,1,Potential Loyalists
100129,2024-11-03,424,1,277.62,2,1,1,Lost
100130,2025-10-15,78,3,1837.52,4,3,4,Potential Loyalists
100131,2023-07-23,893,1,113.64000000000001,1,1,1,Lost
100135,2023-09-09,845,1,109.06,1,1,1,Lost
100136,2025-02-04,331,1,193.32,2,1,1,Lost
100137,2025-03-11,296,2,540.81,2,2,2,Lost
100138,2025-01-29,337,7,2579.4700000000003,2,5,4,At Risk
100140,2025-12-14,18,3,558.5,5,3,2,Potential Loyalists
100142,2025-12-29,3,10,2985.6,5,5,5,Champions
100143,2025-01-23,343,10,6720.72,2,5,5,At Risk
100144,2025-12-31,1,6,2728.52,5,5,5,Champions
100145,2025-06-10,205,1,471.39,3,1,2,Others
100146,2025-11-15,47,3,1703.7,4,3,4,Potential Loyalists
100147,2024-12-05,392,1,197.16,2,1,1,Lost
100148,2025-07-04,181,13,7628.320000000001,3,5,5,Loyal
100149,2024-05-06,605,2,1662.21,1,2,4,Lost
100151,2024-04-17,624,1,124.81,1,1,1,Lost
100152,2023-06-23,923,1,590.0699999999999,1,1,2,Lost
100153,2024-12-13,384,1,445.0,2,1,2,Lost
100155,2025-06-01,214,1,1069.21,3,1,3,Others
100157,2025-04-09,267,1,612.25,3,1,2,Others
100158,2025-08-17,137,1,128.44,3,1,1,Others
100159,2024-03-13,659,1,11.49,1,1,1,Lost
100161,2023-03-23,1015,1,16.59,1,1,1,Lost
100162,2025-06-20,195,8,2300.29,3,5,4,Loyal
100163,2025-05-07,239,10,7393.429999999999,3,5,5,Loyal
100164,2025-02-02,333,2,241.6,2,2,1,Lost
100165,2025-12-13,19,4,4193.86,5,4,5,Champions
100168,2025-11-09,53,2,343.8,4,2,2,Potential Loyalists
100169,2024-09-07,481,1,47.56,2,1,1,Lost
100170,2025-12-01,31,7,2490.19,5,5,4,Champions
100172,2025-09-23,100,2,2041.11,4,2,4,Potential Loyalists
100173,2025-06-10,205,2,1102.86,3,2,3,Others
100175,2023-03-05,1033,1,390.39,1,1,2,Lost
100176,2025-11-14,48,1,247.85000000000002,4,1,1,Potential Loyalists
100177,2024-10-21,437,5,4213.25,2,4,5,At Risk
100178,2025-12-09,23,4,1294.07,5,4,3,Loyal
100179,2024-12-05,392,4,1828.04,2,4,4,At Risk
100181,2024-10-16,442,2,537.1800000000001,2,2,2,Lost
100182,2023-12-30,733,3,462.8,1,3,2,Others
100183,2024-12-30,367,1,395.44,2,1,2,Lost
100184,2025-04-16,260,1,1928.04,3,1,4,Others
100186,2025-12-22,10,1,580.89,5,1,2,Potential Loyalists
100187,2023-09-21,833,1,827.39,1,1,3,Lost
100188,2024-12-23,374,7,1683.69,2,5,4,At Risk
100189,2025-06-22,193,3,1345.42,3,3,3,Others
100190,2025-11-09,53,3,247.73,4,3,1,Potential Loyalists
100191,2024-10-08,450,1,49.17,2,1,1,Lost
100192,2025-11-13,49,10,4155.18,4,5,5,Champions
100193,2025-01-04,362,2,618.84,2,2,2,Lost
100194,2025-12-10,22,1,76.65,5,1,1,Potential Loyalists
100195,2024-03-05,667,1,326.08,1,1,2,Lost
100196,2023-03-31,1007,1,121.59,1,1,1,Lost
100199,2024-07-31,519,2,975.0400000000001,2,2,3,Lost
100200,2025-12-27,5,1,449.93,5,1,2,Potential Loyalists
100202,2025-12-22,10,21,10621.27,5,5,5,Champions
100205,2025-12-19,13,3,1217.51,5,3,3,Potential Loyalists
100206,2024-08-14,505,4,421.99,2,4,2,Others
100207,2025-11-13,49,6,2263.45,4,5,4,Champions
100209,2025-04-25,251,3,1334.85,3,3,3,Others
100210,2024-07-31,519,5,365.67,2,4,2,Others
100211,2025-03-09,298,2,2301.74,2,2,4,Lost
100212,2025-11-03,59,4,2195.91,4,4,4,Champions
100213,2025-06-03,212,1,63.28,3,1,1,Others
100214,2023-11-06,787,3,2364.98,1,3,4,Others
100215,2025-12-07,25,3,220.45,5,3,1,Potential Loyalists
100216,2025-11-19,43,6,2631.21,4,5,4,Champions
100217,2025-11-23,39,2,1257.0900000000001,5,2,3,Potential Loyalists
100218,2023-08-10,875,1,462.08000000000004,1,1,2,Lost
100219,2025-05-20,226,1,275.55,3,1,1,Others
100220,2025-11-18,44,2,949.18,4,2,3,Potential Loyalists
100221,2025-08-09,145,2,977.91,3,2,3,Others
100222,2025-10-20,73,3,1014.3199999999999,4,3,3,Potential Loyalists
100223,2024-10-13,445,3,1953.89,2,3,4,Others
100224,2025-01-14,352,3,631.72,2,3,2,Others
100226,2024-03-19,653,2,512.85,1,2,2,Lost
100228,2025-12-07,25,1,92.12,5,1,1,Potential Loyalists
100229,2023-07-07,909,1,374.93,1,1,2,Lost
100231,2024-08-20,499,1,73.38,2,1,1,Lost
100232,2025-02-12,323,5,874.85,2,4,3,At Risk
100233,2024-11-03,424,2,591.22,2,2,2,Lost
100234,2025-08-17,137,5,1497.62,3,4,4,Loyal
100236,2025-10-02,91,3,333.76,4,3,2,Potential Loyalists
100237,2025-10-12,81,11,7977.56,4,5,5,Champions
100238,2025-03-04,303,3,583.8199999999999,2,3,2,Others
100239,2025-07-21,164,1,412.25,3,1,2,Others
100240,2023-11-12,781,1,732.8399999999999,1,1,3,Lost
100241,2023-06-25,921,1,817.3300000000002,1,1,3,Lost
100242,2025-03-30,277,3,495.39,3,3,2,Others
100243,2024-02-11,690,1,2374.88,1,1,4,Lost
100244,2024-11-21,406,1,1474.81,2,1,4,Lost
100245,2025-12-04,28,4,2064.87,5,4,4,Champions
100246,2025-03-17,290,1,400.84,2,1,2,Lost
100247,2023-06-06,940,1,264.0,1,1,1,Lost
100248,2025-11-25,37,6,2513.9,5,5,4,Champions
100249,2024-10-05,453,1,658.92,2,1,2,Lost
100250,2023-08-14,871,1,532.13,1,1,2,Lost
100252,2023-10-23,801,2,340.64,1,2,2,Lost
100253,2023-06-15,931,1,1691.8700000000001,1,1,4,Lost
100254,2025-12-11,21,4,2007.23,5,4,4,Champions
100255,2024-08-04,515,1,262.49,2,1,1,Lost
100256,2025-08-08,146,10,3152.76,3,5,5,Loyal
100257,2025-09-16,107,1,474.34,4,1,2,Potential Loyalists
100259,2024-05-19,592,3,1427.09,1,3,4,Others
100261,2023-02-15,1051,1,976.25,1,1,3,Lost
100263,2025-12-27,5,3,1792.92,5,3,4,Potential Loyalists
100264,2025-10-23,70,2,227.28,4,2,1,Potential Loyalists
100265,2025-11-20,42,9,7471.32,5,5,5,Champions
100266,2023-05-19,958,2,280.44,1,2,1,Lost
100267,2023-07-12,904,1,229.18,1,1,1,Lost
100269,2024-11-08,419,3,1403.99,2,3,4,Others
100270,2025-11-03,59,13,10358.0,4,5,5,Champions
100271,2023-01-01,1096,1,484.15999999999997,1,1,2,Lost
100272,2025-11-12,50,8,3260.06,4,5,5,Champions
100274,2023-12-24,739,1,704.19,1,1,2,Lost
100275,2025-07-29,156,2,1174.64,3,2,3,Others
100276,2023-09-23,831,1,703.9200000000001,1,1,2,Lost
100278,2025-10-07,86,8,2844.2200000000003,4,5,5,Champions
100280,2025-08-15,139,4,1091.42,3,4,3,Loyal
100281,2024-05-26,585,1,233.95,1,1,1,Lost
100282,2025-11-12,50,6,1390.81,4,5,3,Loyal
100283,2025-07-14,171,1,298.99,3,1,2,Others
100284,2025-10-05,88,5,2501.88,4,4,4,Champions
100286,2025-12-17,15,6,2423.45,5,5,4,Champions
100287,2025-10-01,92,7,2843.5,4,5,5,Champions
100288,2025-06-29,186,2,1733.79,3,2,4,Others
100289,2025-10-01,92,1,201.53,4,1,1,Potential Loyalists
100291,2024-04-29,612,1,30.88,1,1,1,Lost
100292,2024-08-10,509,4,2548.04,2,4,4,At Risk
100293,2025-09-23,100,6,3463.42,4,5,5,Champions
100294,2025-08-21,133,5,1675.81,3,4,4,Loyal
100295,2025-07-27,158,1,83.56,3,1,1,Others
100296,2025-08-26,128,10,5000.76,4,5,5,Champions
100297,2025-10-23,70,9,2673.43,4,5,5,Champions
100300,2025-11-27,35,2,226.99,5,2,1,Potential Loyalists
100301,2025-12-16,16,4,3573.27,5,4,5,Champions
100304,2025-09-14,109,4,557.67,4,4,2,Others
100305,2024-01-24,708,1,31.41,1,1,1,Lost
100306,2025-12-31,1,3,1109.65,5,3,3,Potential Loyalists
100307,2025-10-21,72,11,4936.76,4,5,5,Champions
100308,2025-11-24,38,9,2687.06,5,5,5,Champions
100310,2025-12-10,22,2,600.86,5,2,2,Potential Loyalists
100311,2024-04-28,613,3,392.44,1,3,2,Others
100312,2025-12-28,4,15,3950.83,5,5,5,Champions
100313,2024-11-15,412,4,1229.58,2,4,3,At Risk
100314,2025-11-05,57,3,2086.64,4,3,4,Potential Loyalists
100315,2025-11-14,48,4,767.39,4,4,3,Loyal
100316,2025-04-28,248,4,1701.49,3,4,4,Loyal
100317,2025-06-18,197,4,748.73,3,4,3,Loyal
100319,2025-09-04,119,3,1240.18,4,3,3,Potential Loyalists
100321,2025-12-03,29,11,3265.66,5,5,5,Champions
100322,2025-11-23,39,10,4409.35,5,5,5,Champions
100323,2024-11-30,397,2,423.21000000000004,2,2,2,Lost
100324,2024-09-09,479,1,244.73999999999998,2,1,1,Lost
100326,2025-05-02,244,6,1329.0800000000002,3,5,3,Loyal
100327,2025-12-06,26,3,377.02000000000004,5,3,2,Potential Loyalists
100329,2025-07-25,160,1,1235.16,3,1,3,Others
100331,2024-04-12,629,2,263.02,1,2,1,Lost
100332,2025-12-29,3,3,888.55,5,3,3,Potential Loyalists
100333,2024-01-28,704,2,630.68,1,2,2,Lost
100335,2025-11-11,51,5,4875.93,4,4,5,Champions
100336,2024-08-25,494,1,222.72,2,1,1,Lost
100337,2024-10-17,441,4,2179.05,2,4,4,At Risk
100338,2025-09-19,104,5,1714.79,4,4,4,Champions
100341,2025-11-01,61,2,710.37,4,2,2,Potential Loyalists
100344,2024-07-25,525,1,1042.57,2,1,3,Lost
100345,2025-11-03,59,1,477.22999999999996,4,1,2,Potential Loyalists
100349,2025-06-28,187,3,481.06,3,3,2,Others
100352,2025-02-25,310,2,635.35,2,2,2,Lost
100354,2025-12-03,29,7,4441.67,5,5,5,Champions
100357,2024-06-15,565,6,2524.58,1,5,4,At Risk
100358,2025-12-07,25,3,457.55,5,3,2,Potential Loyalists
100359,2025-12-18,14,6,2959.5699999999997,5,5,5,Champions
100361,2025-09-12,111,3,270.94,4,3,1,Potential Loyalists
100362,2025-11-12,50,3,607.52,4,3,2,Potential Loyalists
100363,2023-07-30,886,1,168.58,1,1,1,Lost
100364,2025-04-17,259,2,384.39000000000004,3,2,2,Others
100365,2024-11-02,425,1,132.64,2,1,1,Lost
100367,2024-12-14,383,1,303.78,2,1,2,Lost
100370,2025-12-06,26,1,1073.22,5,1,3,Potential Loyalists
100371,2025-09-23,100,2,1723.47,4,2,4,Potential Loyalists
100372,2025-10-30,63,8,5284.78,4,5,5,Champions
100373,2025-08-15,139,1,763.0600000000001,3,1,3,Others
100374,2025-11-17,45,5,2527.55,4,4,4,Champions
100375,2025-11-10,52,2,118.62,4,2,1,Potential Loyalists
100376,2024-04-13,628,1,431.99,1,1,2,Lost
100377,2025-12-30,2,8,2320.6,5,5,4,Champions
100378,2025-01-17,349,7,3794.3900000000003,2,5,5,At Risk
100380,2025-12-20,12,48,22354.77,5,5,5,Champions
100382,2023-12-17,746,1,52.51,1,1,1,Lost
100383,2025-10-21,72,5,1570.91,4,4,4,Champions
100385,2025-05-17,229,2,1340.24,3,2,3,Others
100386,2023-09-05,849,3,2773.4,1,3,5,Others
100387,2025-09-05,118,4,1880.17,4,4,4,Champions
100388,2025-06-24,191,5,1931.66,3,4,4,Loyal
100389,2025-08-26,128,10,5954.29,4,5,5,Champions
100391,2025-06-17,198,2,234.79999999999998,3,2,1,Others
100392,2025-04-27,249,2,2451.11,3,2,4,Others
100394,2025-04-23,253,1,732.93,3,1,3,Others
100395,2025-06-13,202,2,1145.45,3,2,3,Others
100397,2025-11-13,49,12,4738.38,4,5,5,Champions
100398,2025-11-18,44,7,2300.75,4,5,4,Champions
100399,2025-11-16,46,4,1146.4,4,4,3,Loyal
100400,2023-10-30,794,1,33.37,1,1,1,Lost
100401,2025-08-13,141,7,3650.0299999999997,3,5,5,Loyal
100403,2025-09-19,104,1,1125.6100000000001,4,1,3,Potential Loyalists
100404,2025-11-14,48,1,120.46,4,1,1,Potential Loyalists
100405,2025-10-31,62,2,219.25,4,2,1,Potential Loyalists
100406,2025-01-08,358,2,1035.39,2,2,3,Lost
100407,2024-04-20,621,1,265.43,1,1,1,Lost
100408,2025-12-28,4,13,7807.08,5,5,5,Champions
100410,2025-01-05,361,4,706.09,2,4,2,Others
100411,2024-03-05,667,4,2295.43,1,4,4,At Risk
100412,2024-12-07,390,1,2297.94,2,1,4,Lost
100413,2025-11-23,39,1,205.96,5,1,1,Potential Loyalists
100414,2025-09-12,111,1,59.65,4,1,1,Potential Loyalists
100415,2024-12-21,376,1,130.02,2,1,1,Lost
100416,2025-02-05,330,11,5501.68,2,5,5,At Risk
100417,2025-11-28,34,1,3376.65,5,1,5,Potential Loyalists
100418,2024-07-24,526,1,130.43,2,1,1,Lost
100421,2025-08-04,150,2,1390.2200000000003,3,2,3,Others
100422,2025-04-15,261,1,54.57,3,1,1,Others
100424,2023-04-16,991,1,91.64,1,1,1,Lost
100427,2025-10-18,75,19,7340.88,4,5,5,Champions
100428,2025-02-13,322,3,1268.0900000000001,2,3,3,Others
100429,2024-10-30,428,1,834.62,2,1,3,Lost
100430,2025-06-17,198,2,1034.25,3,2,3,Others
100431,2024-12-06,391,1,297.72,2,1,2,Lost
100432,2025-11-05,57,3,372.25,4,3,2,Potential Loyalists
100433,2024-10-25,433,1,227.68,2,1,1,Lost
100434,2025-05-31,215,5,841.2,3,4,3,Loyal
100435,2025-09-29,94,11,5125.93,4,5,5,Champions
100436,2025-12-30,2,1,2339.0,5,1,4,Potential Loyalists
100439,2025-01-25,341,5,2315.73,2,4,4,At Risk
100440,2025-10-14,79,4,872.1300000000001,4,4,3,Loyal
100441,2025-04-11,265,2,398.26,3,2,2,Others
100442,2025-04-27,249,1,351.17999999999995,3,1,2,Others
100443,2025-04-29,247,8,4451.36,3,5,5,Loyal
100444,2024-03-16,656,1,125.96000000000001,1,1,1,Lost
100445,2025-04-19,257,1,395.33,3,1,2,Others
100446,2025-11-04,58,11,8614.27,4,5,5,Champions
100447,2024-03-25,647,1,112.68,1,1,1,Lost
100448,2025-06-10,205,3,1212.08,3,3,3,Others
100449,2023-06-02,944,1,528.25,1,1,2,Lost
100450,2025-11-20,42,7,4212.68,5,5,5,Champions
100453,2025-09-09,114,4,2170.79,4,4,4,Champions
100455,2025-12-13,19,7,2632.55,5,5,4,Champions
100456,2024-10-08,450,4,4033.23,2,4,5,At Risk
100457,2025-12-07,25,11,2773.9900000000002,5,5,5,Champions
100458,2025-01-18,348,2,1532.18,2,2,4,Lost
100459,2024-12-12,385,1,764.23,2,1,3,Lost
100460,2024-04-03,638,2,2516.48,1,2,4,Lost
100461,2024-03-01,671,3,3594.29,1,3,5,Others
100462,2023-06-13,933,1,432.47,1,1,2,Lost
100463,2025-12-10,22,4,2385.56,5,4,4,Champions
100464,2023-02-04,1062,1,240.97,1,1,1,Lost
100465,2025-08-11,143,4,1353.01,3,4,3,Loyal
100466,2024-12-31,366,1,1246.89,2,1,3,Lost
100467,2025-12-12,20,7,4104.87,5,5,5,Champions
100469,2023-02-26,1040,1,1046.4899999999998,1,1,3,Lost
100470,2024-04-17,624,1,248.37,1,1,1,Lost
100471,2025-11-08,54,2,333.02,4,2,2,Potential Loyalists
100473,2024-12-27,370,3,1747.04,2,3,4,Others
100474,2023-02-03,1063,1,103.43,1,1,1,Lost
100475,2025-10-12,81,7,2585.67,4,5,4,Champions
100476,2025-04-16,260,4,1475.69,3,4,4,Loyal
100477,2025-12-17,15,4,487.3,5,4,2,Others
100478,2025-03-07,300,3,2902.88,2,3,5,Others
100480,2025-12-10,22,9,3025.54,5,5,5,Champions
100482,2025-12-12,20,8,3414.04,5,5,5,Champions
100483,2025-12-24,8,3,1464.0500000000002,5,3,4,Potential Loyalists
100484,2025-01-31,335,1,797.27,2,1,3,Lost
100485,2023-06-17,929,2,687.4,1,2,2,Lost
100486,2025-12-28,4,3,2471.8500000000004,5,3,4,Potential Loyalists
100488,2023-02-20,1046,1,633.28,1,1,2,Lost
100489,2025-11-17,45,7,3702.3599999999997,4,5,5,Champions
100490,2025-12-11,21,4,738.4100000000001,5,4,3,Loyal
100492,2025-03-14,293,2,911.78,2,2,3,Lost
100494,2023-11-09,784,1,1010.2,1,1,3,Lost
100495,2025-07-06,179,2,2343.17,3,2,4,Others
100496,2025-12-12,20,6,1973.4299999999998,5,5,4,Champions
100497,2025-08-02,152,1,30.05,3,1,1,Others
100498,2025-12-28,4,2,601.8499999999999,5,2,2,Potential Loyalists
100500,2025-12-24,8,2,2161.14,5,2,4,Potential Loyalists
100501,2025-08-09,145,6,1311.3899999999999,3,5,3,Loyal
100505,2025-10-22,71,1,758.0699999999999,4,1,3,Potential Loyalists
100506,2024-10-02,456,2,1260.75,2,2,3,Lost
100507,2024-11-14,413,1,89.72,2,1,1,Lost
100508,2025-11-03,59,2,500.39,4,2,2,Potential Loyalists
100509,2023-08-06,879,1,157.12,1,1,1,Lost
100510,2025-06-27,188,5,1164.45,3,4,3,Loyal
100511,2025-05-10,236,3,1488.73,3,3,4,Others
100512,2025-12-19,13,1,425.62,5,1,2,Potential Loyalists
100513,2024-01-31,701,1,67.22,1,1,1,Lost
100514,2025-06-29,186,2,376.68,3,2,2,Others
100515,2025-02-11,324,4,2334.88,2,4,4,At Risk
100517,2025-11-03,59,5,2209.2000000000003,4,4,4,Champions
100518,2025-05-24,222,2,1206.6299999999999,3,2,3,Others
100521,2025-12-19,13,15,10507.199999999999,5,5,5,Champions
100522,2025-12-29,3,13,4581.74,5,5,5,Champions
100523,2025-06-13,202,3,3492.89,3,3,5,Others
100524,2025-04-16,260,5,850.66,3,4,3,Loyal
100525,2023-03-12,1026,1,48.45,1,1,1,Lost
100526,2024-01-26,706,5,2225.11,1,4,4,At Risk
100527,2024-09-15,473,1,624.9200000000001,2,1,2,Lost
100528,2025-06-02,213,8,6803.3099999999995,3,5,5,Loyal
100530,2025-08-23,131,2,795.52,3,2,3,Others
100531,2025-07-17,168,8,2076.2599999999998,3,5,4,Loyal
100532,2023-09-12,842,2,1023.19,1,2,3,Lost
100534,2024-10-19,439,2,598.49,2,2,2,Lost
100535,2025-12-16,16,4,626.23,5,4,2,Others
100536,2025-09-01,122,3,513.57,4,3,2,Potential Loyalists
100537,2025-12-25,7,3,899.27,5,3,3,Potential Loyalists
100538,2024-02-29,672,2,352.54,1,2,2,Lost
100539,2025-06-07,208,4,861.98,3,4,3,Loyal
100541,2024-01-23,709,1,743.53,1,1,3,Lost
100542,2024-06-14,566,2,1311.67,1,2,3,Lost
100546,2025-11-04,58,2,1160.69,4,2,3,Potential Loyalists
100547,2024-11-24,403,1,599.91,2,1,2,Lost
100549,2025-02-16,319,2,214.7,2,2,1,Lost
100550,2025-11-01,61,9,3294.97,4,5,5,Champions
100551,2025-07-08,177,5,6192.5,3,4,5,Loyal
100552,2025-06-09,206,3,1326.9499999999998,3,3,3,Others
100554,2025-12-17,15,3,886.65,5,3,3,Potential Loyalists
100558,2025-09-17,106,4,1344.3,4,4,3,Loyal
100559,2025-11-15,47,3,1102.1599999999999,4,3,3,Potential Loyalists
100560,2025-09-27,96,17,5556.64,4,5,5,Champions
100562,2025-11-29,33,6,1809.34,5,5,4,Champions
100564,2025-10-30,63,1,92.39,4,1,1,Potential Loyalists
100565,2025-10-04,89,2,524.46,4,2,2,Potential Loyalists
100566,2024-09-19,469,7,2184.16,2,5,4,At Risk
100567,2024-12-07,390,1,180.08,2,1,1,Lost
100568,2025-04-15,261,4,1261.03,3,4,3,Loyal
100569,2025-03-06,301,6,1738.09,2,5,4,At Risk
100570,2024-08-31,488,3,1980.67,2,3,4,Others
100571,2025-03-15,292,3,2345.75,2,3,4,Others
100572,2025-08-13,141,10,4496.97,3,5,5,Loyal
100574,2025-06-25,190,6,1924.47,3,5,4,Loyal
100575,2025-02-28,307,1,487.71,2,1,2,Lost
100576,2025-11-12,50,1,175.68,4,1,1,Potential Loyalists
100577,2025-12-16,16,19,5895.0,5,5,5,Champions
100578,2025-11-01,61,6,2450.2,4,5,4,Champions
100580,2023-12-18,745,1,320.06,1,1,2,Lost
100581,2023-10-08,816,1,372.74,1,1,2,Lost
100582,2025-05-11,235,4,1209.24,3,4,3,Loyal
100583,2025-12-03,29,5,1594.71,5,4,4,Champions
100585,2025-01-12,354,2,514.99,2,2,2,Lost
100586,2025-03-17,290,3,1439.18,2,3,4,Others
100587,2024-09-22,466,3,3724.7999999999997,2,3,5,Others
100588,2023-06-02,944,1,38.26,1,1,1,Lost
100589,2025-10-19,74,4,571.7,4,4,2,Others
100590,2025-09-22,101,3,916.19,4,3,3,Potential Loyalists
100591,2025-11-17,45,1,10.97,4,1,1,Potential Loyalists
100592,2025-12-07,25,9,6270.61,5,5,5,Champions
100595,2025-02-01,334,1,156.35,2,1,1,Lost
100596,2025-12-24,8,4,2013.96,5,4,4,Champions
100598,2025-12-26,6,13,5895.74,5,5,5,Champions
100599,2025-05-21,225,2,1028.76,3,2,3,Others
